From;To;Distance (km)
BYDGOSZCZ_3;BIALYSTOK_2;396,68
BYDGOSZCZ_3;BYDGOSZCZ_1;4,03
BYDGOSZCZ_3;BYDGOSZCZ_2;8,67
BYDGOSZCZ_3;GLOGOW_1;260,58
BYDGOSZCZ_3;GLOGOW_2;263,36
BYDGOSZCZ_3;INOWROCLAW;48,35
BYDGOSZCZ_3;JAROCIN;165,6
BYDGOSZCZ_3;KALISZ_1;176,92
BYDGOSZCZ_3;KIELCE;358,92
BYDGOSZCZ_3;KONIN;120,58
BYDGOSZCZ_3;KOSZALIN;199,05
BYDGOSZCZ_3;LEGNICA;294,33
BYDGOSZCZ_3;LESZNO_1;214,23
BYDGOSZCZ_3;LESZNO_2;216,6
BYDGOSZCZ_3;LUBIN;276,62
BYDGOSZCZ_3;LUBON;143,89
BYDGOSZCZ_3;LODZ_1;213,63
BYDGOSZCZ_3;LODZ_2;222,84
BYDGOSZCZ_3;OBORNIKI_WLKP;112,13
BYDGOSZCZ_3;PABIANICE;233,6
BYDGOSZCZ_3;PILA_1;94,46
BYDGOSZCZ_3;PILA_2;94,08
BYDGOSZCZ_3;PIOTRKOW_TRYB;256,67
BYDGOSZCZ_3;POZNAN_Z;140,49
BYDGOSZCZ_3;POZNAN_B;143,94
BYDGOSZCZ_3;POZNAN_D;134,73
BYDGOSZCZ_3;POZNAN_GL;148,97
BYDGOSZCZ_3;POZNAN_GR;137,49
BYDGOSZCZ_3;POZNAN_H;147,24
BYDGOSZCZ_3;POZNAN_MAL;142,63
BYDGOSZCZ_3;POZNAN_MAR;149,39
BYDGOSZCZ_3;POZNAN_PLA;138,7
BYDGOSZCZ_3;POZNAN_PLE;150,91
BYDGOSZCZ_3;POZNAN_PRO;148,87
BYDGOSZCZ_3;POZNAN_R;143,43
BYDGOSZCZ_3;POZNAN_T;153,83
BYDGOSZCZ_3;RADOM;359,25
BYDGOSZCZ_3;RZESZOW_1;546,95
BYDGOSZCZ_3;RZESZOW_2;554,85
BYDGOSZCZ_3;SIERADZ;211,14
BYDGOSZCZ_3;SUCHY_LAS;131,52
BYDGOSZCZ_3;SWARZEDZ;125,75
BYDGOSZCZ_3;SRODA_WLKP;132,84
BYDGOSZCZ_3;TORUN_1;39,72
BYDGOSZCZ_3;TORUN_2;43,91
BYDGOSZCZ_3;TORUN_3;49,94
BYDGOSZCZ_3;TRZCIANKA;117,81
BYDGOSZCZ_3;WARSZAWA_BL;276,88
BYDGOSZCZ_3;WARSZAWA_J;277,37
BYDGOSZCZ_3;WARSZAWA_TARCH;244,44
BYDGOSZCZ_3;WROCLAW_1;284,39
BYDGOSZCZ_3;WROCLAW_2;285,26
BYDGOSZCZ_3;WROCLAW_3;282,73
